country,holiday,date
India,Milad un-Nabi/Id-e-Milad,10/29/2020
India,Diwali/Deepavali,11/14/2020
India,Guru Nanak Jayanti,11/30/2020
India,Christmas,12/25/2020
Italy,New Year's Day,1/1/2020
Italy,Epiphany,1/6/2020
Italy,Easter Monday,4/13/2020
Italy,Liberation Day,4/25/2020
Italy,Labor Day / May Day,5/1/2020
Italy,Republic Day,6/2/2020
Italy,Assumption of Mary / Ferragosto,8/15/2020
Italy,All Saints' Day,11/1/2020
Italy,Feast of the Immaculate Conception,12/8/2020
Italy,Christmas Day,12/25/2020
Italy,St. Stephen's Day,12/26/2020
Netherlands,New Year's Day,1/1/2020
Netherlands,Easter Day,4/12/2020
Netherlands,Easter Monday,4/13/2020
Netherlands,King's Birthday,4/27/2020
Netherlands,Liberation Day,5/5/2020
Netherlands,Ascension Day,5/21/2020
Netherlands,Whit Sunday,5/31/2020
Netherlands,Whit Monday,6/1/2020
Netherlands,Christmas Day,12/25/2020
Netherlands,Second Day of Christmas,12/26/2020
Singapore,New Year's Day,1/1/2020
Singapore,Chinese Lunar New Year's Day,1/25/2020
Singapore,Second day of Chinese Lunar New Year,1/27/2020
Singapore,Good Friday,4/10/2020
Singapore,Labour Day,5/1/2020
Singapore,Vesak Day,5/7/2020
Singapore,Hari Raya Puasa,5/24/2020
Singapore,Hari Raya Haji,7/31/2020
Singapore,National Day,8/9/2020
Singapore,National Day observed,8/10/2020
Singapore,Diwali/Deepavali,11/14/2020
Singapore,Christmas Day,12/25/2020
South Korea,New Year's Day,1/1/2020
South Korea,Seollal Holiday,1/24/2020
South Korea,Seollal,1/25/2020
South Korea,Seollal Holiday,1/27/2020
South Korea,Independence Movement Day,3/1/2020
South Korea,National Assembly Election Day,4/15/2020
South Korea,Buddha's Birthday,4/30/2020
South Korea,Children's Day,5/5/2020
South Korea,Memorial Day,6/6/2020
South Korea,Liberation Day,8/15/2020
South Korea,Chuseok Holiday,9/10/2020
South Korea,Chuseok,10/1/2020
South Korea,Chuseok Holiday,10/2/2020
South Korea,National Foundation Day,10/3/2020
South Korea,Hangeul Proclamation Day,10/9/2020
South Korea,Christmas Day,12/25/2020
